Date,resid
2007-01-23,0.4617288740981573
2007-01-24,0.47926382660815214
2007-01-25,0.49524689581148795
2007-01-26,0.5043666872382113
2007-01-29,0.512307944958982
2007-01-30,0.5162372309507055
2007-01-31,0.5161557252564473
2007-02-01,0.5144264375736589
2007-02-02,0.514567106935361
2007-02-05,0.5120252715831403
2007-02-06,0.5058750998483427
2007-02-07,0.4999163293739387
2007-02-08,-1.234805404483075
2007-02-09,-1.2517161769291294
2007-02-12,-1.2665372507184012
2007-02-13,-1.285991117355679
2007-02-14,-1.2875187574413056
2007-02-15,-1.2915942596517196
2007-02-16,-1.2970513548464915
2007-02-20,-1.305816351486254
2007-02-21,-1.3085050951280952
2007-02-22,-1.307473218572561
2007-02-23,-1.3036365700369903
2007-02-26,-1.3011595060855892
2007-02-27,-1.3109371095280231
2007-02-28,-1.322225748503993
2007-03-01,-1.33401390180398
2007-03-02,-1.3503310343061394
2007-03-05,-1.3800687974081578
2007-03-06,-1.410896752182773
2007-03-07,-1.4348074013449232
2007-03-08,-1.4498564585740694
2007-03-09,-1.4639677934492736
2007-03-12,-1.474663514869992
2007-03-13,-1.496801145413289
2007-03-14,-1.5220681016793174
2007-03-15,-1.5428432158822976
2007-03-16,-1.5604011984263844
2007-03-19,-1.579368345215991
2007-03-20,-1.580256040911684
2007-03-21,-1.5754040383266612
2007-03-22,-1.5771526388311963
2007-03-23,-1.5828255618018747
2007-03-26,-1.5870689898920514
2007-03-27,-1.6052699514212927
2007-03-28,-1.6250853730002457
2007-03-29,-1.6446496520640326
2007-03-30,-1.6704720681995073
2007-04-02,-1.6960990641762912
2007-04-03,-1.715456068456465
2007-04-04,-1.7300396461762797
2007-04-05,-1.7495299349164277
2007-04-09,-1.7724158168286133
2007-04-10,-1.79680429077791
2007-04-11,-1.8352311345209662
2007-04-12,-1.8692589588866588
2007-04-13,-1.9075228148527854
2007-04-16,-1.9362173697190252
2007-04-17,-1.9635022126552215
2007-04-18,-1.988243922004325
2007-04-19,-2.004388160728572
2007-04-20,-2.0130490257147695
2007-04-23,-2.0204067967770665
2007-04-24,-2.0232498172606665
2007-04-25,-2.019014870472479
2007-04-26,-2.0223475097142365
2007-04-27,-2.027641355219098
2007-04-30,-2.030282673904819
2007-05-01,-2.0357153770669
2007-05-02,-2.0309532862849746
2007-05-03,-2.0198918803318007
2007-05-04,-1.9991280438370351
2007-05-07,-1.9640054653253607
2007-05-08,-1.9386993861408426
2007-05-09,-1.9078496350371585
2007-05-10,-1.8825152602995838
2007-05-11,-1.8496076761576044
2007-05-14,-1.8293588349539731
2007-05-15,-1.8223238013691443
2007-05-16,-1.818644983008979
2007-05-17,-1.818886023913759
2007-05-18,-1.802654377991721
2007-05-21,-1.7919685856376688
2007-05-22,-1.7846215681998423
2007-05-23,-1.7844031147343342
2007-05-24,-1.7995754890932858
2007-05-25,-1.8138295251661916
2007-05-29,-1.8136977112588535
2007-05-30,-1.8101376317970264
2007-05-31,-1.801353056652752
2007-06-01,-1.7868677336823406
2007-06-04,-1.7477997447171005
2007-06-05,-1.716314622971316
2007-06-06,-1.683140247478509
2007-06-07,-1.6468835189414803
2007-06-08,-1.6196282187981663
2007-06-11,-1.5995079858423247
2007-06-12,-1.5795705222470744
2007-06-13,-1.5435547396556566
2007-06-14,-1.5061887021036608
2007-06-15,-1.4630741240874099
2007-06-18,-1.4199771222061701
2007-06-19,-1.364252509214275
2007-06-20,-1.310783113522616
2007-06-21,-1.2713188396614323
2007-06-22,-1.2374057523402004
2007-06-25,-1.1957807913204275
2007-06-26,-1.1577157142973404
2007-06-27,-1.1255823638673412
2007-06-28,-1.0983706082704852
2007-06-29,-1.0790242737406148
2007-07-02,-1.059564741270806
2007-07-03,-1.0421882309218875
2007-07-05,-1.0291461792292687
2007-07-06,-1.0142552476814841
2007-07-09,-1.0145155022204027
2007-07-10,-1.0225474461926547
2007-07-11,-1.0271837158129176
2007-07-12,-1.02459089261568
2007-07-13,-1.0130235268363894
2007-07-16,-0.9918534120341058
2007-07-17,-0.9655891458255765
2007-07-18,-0.9405312232080147
2007-07-19,-0.9072248536319472
2007-07-20,-0.8654365777579376
