Date,resid
2007-01-25,-4.099908494207109
2007-01-26,-4.1770466251549765
2007-01-29,-4.277442278734558
2007-01-30,-4.3507582980937105
2007-01-31,-4.421755419751861
2007-02-01,-4.493490766612579
2007-02-02,-4.547119422597845
2007-02-05,-4.598211171265443
2007-02-06,-4.649152821888123
2007-02-07,-4.718551081483782
2007-02-08,-5.111235778953609
2007-02-09,-5.147320757057202
2007-02-12,-5.206553040378471
2007-02-13,-5.250243662054279
2007-02-14,-5.307065801289379
2007-02-15,-5.357682169698159
2007-02-16,-5.396237848975027
2007-02-20,-5.440723886857951
2007-02-21,-5.47463917614618
2007-02-22,-5.499403617165872
2007-02-23,-5.520531025937597
2007-02-26,-5.5324042890142335
2007-02-27,-5.550096541154279
2007-02-28,-5.55894399521546
2007-03-01,-5.565453438185626
2007-03-02,-5.564300372936162
2007-03-05,-5.583466988010786
2007-03-06,-5.5969468372956035
2007-03-07,-5.593300833323086
2007-03-08,-5.585630709241761
2007-03-09,-5.59964729641745
2007-03-12,-5.620528650636661
2007-03-13,-5.648027145932845
2007-03-14,-5.674352843750414
2007-03-15,-5.709362103630718
2007-03-16,-5.755423396451039
2007-03-19,-5.809748380121244
2007-03-20,-5.856460370250069
2007-03-21,-5.875445151797681
2007-03-22,-5.866364945241567
2007-03-23,-5.851895117376113
2007-03-26,-5.830505499149573
2007-03-27,-5.8140504919842995
2007-03-28,-5.788169561224844
2007-03-29,-5.74176658028344
2007-03-30,-5.695166529149586
2007-04-02,-5.651169750756814
2007-04-03,-5.617417957236806
2007-04-04,-5.582805047074086
2007-04-05,-5.5478869974499
2007-04-09,-5.5443245692295
2007-04-10,-5.548068535791827
2007-04-11,-5.557324722340827
2007-04-12,-5.562136344098266
2007-04-13,-5.557144342323118
2007-04-16,-5.55556328865042
2007-04-17,-5.560936599665212
2007-04-18,-5.563462907843842
2007-04-19,-5.568676399170262
2007-04-20,-5.563885341750054
2007-04-23,-5.542284258313596
2007-04-24,-5.528962173829075
2007-04-25,-5.49997164545426
2007-04-26,-5.480475662219597
2007-04-27,-5.455898019321176
2007-04-30,-5.4406519471143895
2007-05-01,-5.434162751537352
2007-05-02,-5.42954408464256
2007-05-03,-5.4291309667066425
2007-05-04,-5.436876640747106
2007-05-07,-5.436928291979306
2007-05-08,-5.430567011490458
2007-05-09,-5.43732364023002
2007-05-10,-5.443682007863521
2007-05-11,-5.441738126868806
2007-05-14,-5.433198770734107
2007-05-15,-5.419193290740359
2007-05-16,-5.406590980783261
2007-05-17,-5.375842980677669
2007-05-18,-5.348190422674983
2007-05-21,-5.313390401319716
2007-05-22,-5.289896400203011
2007-05-23,-5.261234582482257
2007-05-24,-5.2499996621676095
2007-05-25,-5.241138579046994
2007-05-29,-5.245010329079443
2007-05-30,-5.238563426191593
2007-05-31,-5.230235725116496
2007-06-01,-5.2091906095404665
2007-06-04,-5.172831858939028
2007-06-05,-5.147283664110323
2007-06-06,-5.12328444711534
2007-06-07,-5.089437588496193
2007-06-08,-5.074949872843266
2007-06-11,-5.0467822678993945
2007-06-12,-5.025806583583033
2007-06-13,-5.005101790437494
2007-06-14,-4.982481826223374
2007-06-15,-4.955484596898147
2007-06-18,-4.9292230263214725
2007-06-19,-4.909490453605075
2007-06-20,-4.904895855775461
2007-06-21,-4.8804596544960805
2007-06-22,-4.849413156443039
2007-06-25,-4.81689358769276
2007-06-26,-4.797442782528786
2007-06-27,-4.761416526248733
2007-06-28,-4.7200274007628265
2007-06-29,-4.681053101821306
2007-07-02,-4.64805429681382
2007-07-03,-4.616946651980363
2007-07-05,-4.582671651115029
2007-07-06,-4.539651812193212
2007-07-09,-4.496476755643962
2007-07-10,-4.447964888136051
2007-07-11,-4.39269046463502
2007-07-12,-4.343838707632518
2007-07-13,-4.283952206685892
2007-07-16,-4.2190703492700905
2007-07-17,-4.152759123603138
2007-07-18,-4.0819958577410125
2007-07-19,-4.0037371159032675
2007-07-20,-3.9240856599150495
2007-07-23,-3.8532558498335083
2007-07-24,-3.804889234321326
2007-07-25,-3.727182494188221
2007-07-26,-3.6595500305102835
2007-07-27,-3.57963074725953
2007-07-30,-3.5056866848093495
2007-07-31,-3.4222830095204175
2007-08-01,-3.3530717866683757
2007-08-02,-3.2883784498142044
2007-08-03,-3.2334342491054966
2007-08-06,-3.208041182709758
2007-08-07,-3.1881973682227533
2007-08-08,-3.1734913933599613
2007-08-09,-3.1658915226075184
2007-08-10,-3.162698395006659
2007-08-13,-3.1573628210024385
2007-08-14,-3.1447504010835523
2007-08-15,-3.125456205616195
2007-08-16,-3.129600425413435
2007-08-17,-3.1281843808915575
2007-08-20,-3.138585913864816
2007-08-21,-3.161573022764304
2007-08-22,-3.191345791169173
2007-08-23,-3.220173507128504
2007-08-24,-3.2393649502558457
2007-08-27,-3.251473954344658
2007-08-28,-3.2719742977225623
2007-08-29,-3.275352844611241
2007-08-30,-3.281012121261975
2007-08-31,-3.2845168261418802
2007-09-04,-3.27992888256552
2007-09-05,-3.271695039071875
2007-09-06,-3.2535674580888396
2007-09-07,-3.240161256377049
2007-09-10,-3.227019287304273
2007-09-11,-3.217809213078352
2007-09-12,-3.193172433933527
2007-09-13,-3.168012065824024
2007-09-14,-3.1600191662183517
2007-09-17,-3.146820727136908
2007-09-18,-3.1232213866894174
2007-09-19,-3.1027710213159763
2007-09-20,-3.0786169807971646
2007-09-21,-3.065923097003808
2007-09-24,-3.0571060909367773
2007-09-25,-3.073726880434868
2007-09-26,-3.0830246114506834
2007-09-27,-3.0657118834137878
2007-09-28,-3.062372636184704
2007-10-01,-3.0703703506039792
2007-10-02,-3.0910882630232086
2007-10-03,-3.1119413811381627
2007-10-04,-3.1199281685667453
2007-10-05,-3.129642671154137
2007-10-08,-3.16198274659293
2007-10-09,-3.1862097719021785
2007-10-10,-3.19331756951833
2007-10-11,-3.1794625868818747
2007-10-12,-3.171618176747425
2007-10-15,-3.1345717824073267
2007-10-16,-3.0869968651996285
2007-10-17,-3.0462683521276546
2007-10-18,-2.991565901505305
2007-10-19,-2.9482433739849103
2007-10-22,-2.912522418893336
2007-10-23,-2.9016235671217756
2007-10-24,-2.874339668782496
2007-10-25,-2.8201185857683
2007-10-26,-2.7638693575605426
2007-10-29,-2.6947775729268955
2007-10-30,-2.6549222994909427
2007-10-31,-2.573354371972653
2007-11-01,-2.5077555466056607
2007-11-02,-2.427678230402168
2007-11-05,-2.3655521837556037
2007-11-06,-2.288751358714835
2007-11-07,-2.2153505660550876
2007-11-08,-2.1579846766954187
2007-11-09,-2.09485688951355
2007-11-12,-2.051581781845555
2007-11-13,-2.041527893103238
2007-11-14,-2.004431367767615
2007-11-15,-1.9725845710811887
2007-11-16,-1.9299017241352585
2007-11-19,-1.8996256173795676
2007-11-20,-1.843495365459838
2007-11-21,-1.7961325022023222
2007-11-23,-1.744209718631053
