Date,resid
2007-01-29,4.494745624019685
2007-01-30,4.663620340214643
2007-01-31,4.842653691727784
2007-02-01,4.990945659104103
2007-02-02,5.150676035362474
2007-02-05,5.292157517694154
2007-02-06,5.415159972608638
2007-02-07,5.553762877977001
2007-02-08,6.412149687301735
2007-02-09,6.601405742442818
2007-02-12,6.811444167048494
2007-02-13,7.032564546456486
2007-02-14,7.206606525160499
2007-02-15,7.323795294267121
2007-02-16,7.434517006206615
2007-02-20,7.553138475404321
2007-02-21,7.659302699823197
2007-02-22,7.758372942324616
2007-02-23,7.876354281566838
2007-02-26,7.978083199721501
2007-02-27,8.087458314310611
2007-02-28,8.219389958512817
2007-03-01,8.350375697210625
2007-03-02,8.514108256172294
2007-03-05,8.74174066869898
2007-03-06,8.946475212186266
2007-03-07,9.14879984285302
2007-03-08,9.341759374351579
2007-03-09,9.48430993149198
2007-03-12,9.599454002845494
2007-03-13,9.728225923078174
2007-03-14,9.857155685177283
2007-03-15,9.956537663242463
2007-03-16,10.071962850600553
2007-03-19,10.198315427146037
2007-03-20,10.298824139427468
2007-03-21,10.360966972979812
2007-03-22,10.389291974643749
2007-03-23,10.404352403377557
2007-03-26,10.44655230939789
2007-03-27,10.520140526439656
2007-03-28,10.585212987972309
2007-03-29,10.638288292092149
2007-03-30,10.705647406023797
2007-04-02,10.748574454493967
2007-04-03,10.783535706075822
2007-04-04,10.817083493481473
2007-04-05,10.78622432817719
2007-04-09,10.771345736903713
2007-04-10,10.730933689361347
2007-04-11,10.69072704883119
2007-04-12,10.650040561480575
2007-04-13,10.592707669076812
2007-04-16,10.543035993600194
2007-04-17,10.440646695278092
2007-04-18,10.305632809063871
2007-04-19,10.148332366465555
2007-04-20,9.944229699234224
2007-04-23,9.75512622003185
2007-04-24,9.559892391340295
2007-04-25,9.324584723893755
2007-04-26,9.107270230538553
2007-04-27,8.860148456879383
2007-04-30,8.570700090871314
2007-05-01,8.306276776031847
2007-05-02,8.105842449399843
2007-05-03,7.924797193716142
2007-05-04,7.760695931635247
2007-05-07,7.487456149993488
2007-05-08,7.126692004401847
2007-05-09,6.826838067913172
2007-05-10,6.576172590583847
2007-05-11,6.316088435461603
2007-05-14,5.986958359805354
2007-05-15,5.646366948810892
2007-05-16,5.3100867975089985
2007-05-17,4.957451931360527
2007-05-18,4.688366447528024
2007-05-21,4.4562530819963095
2007-05-22,4.381308930449852
2007-05-23,4.27559013571738
2007-05-24,4.196605109430875
2007-05-25,4.095084979180321
2007-05-29,3.9915863629621215
2007-05-30,3.8859649370243066
2007-05-31,3.7580172818855377
2007-06-01,3.6228113938030484
2007-06-04,3.4692512368792965
2007-06-05,3.2850041729512274
2007-06-06,3.0983851168423886
2007-06-07,2.899773831739542
2007-06-08,2.713243756036687
2007-06-11,2.5111443642894686
2007-06-12,2.2452434413854068
2007-06-13,1.9464777778665
2007-06-14,1.5829410525290704
2007-06-15,1.221649280030233
2007-06-18,0.8470801051914076
2007-06-19,0.42495513990583955
2007-06-20,0.02903431573077886
2007-06-21,-0.34498008333130037
2007-06-22,-0.6860141937167703
2007-06-25,-1.10814483161782
2007-06-26,-1.5142920133287447
2007-06-27,-1.9092202495124868
2007-06-28,-2.3257192360747574
2007-06-29,-2.7009312454737464
2007-07-02,-3.071763363000783
2007-07-03,-3.4743159957941794
2007-07-05,-3.8153864684903738
2007-07-06,-4.132161346084776
2007-07-09,-4.422061174332415
2007-07-10,-4.678215358554109
2007-07-11,-4.947207986199798
2007-07-12,-5.237157701377317
2007-07-13,-5.499505748899238
2007-07-16,-5.732864861996415
2007-07-17,-5.952931062322074
2007-07-18,-6.1672162941729205
2007-07-19,-6.403803299150727
2007-07-20,-6.66342436744711
2007-07-23,-6.978207785562322
2007-07-24,-7.316289380112153
2007-07-25,-7.659298287450683
